,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
0,20.2,11.2,5.1,31.5,0.669,32.6,11.9,2015-16,Stephen Curry,0.8902439024390244,131.0,1310.0,1310.0,1.0,79.0,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
1,15.1,4.0,4.6,26.0,0.616,25.8,9.1,2015-16,Kawhi Leonard,0.8170731707317073,0.0,634.0,1310.0,0.484,72.0,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277
2,18.6,3.7,6.5,27.5,0.588,31.4,9.0,2015-16,LeBron James,0.6951219512195121,0.0,631.0,1310.0,0.482,76.0,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
3,18.1,4.3,7.2,27.6,0.554,31.6,7.8,2015-16,Russell Westbrook,0.6707317073170732,0.0,486.0,1310.0,0.371,80.0,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245
4,19.2,6.7,6.9,28.2,0.634,30.6,9.9,2015-16,Kevin Durant,0.6707317073170732,0.0,147.0,1310.0,0.112,72.0,35.8,28.2,8.2,5.0,1.0,1.2,0.505,0.387,0.898,14.5,0.27
5,15.1,4.4,4.4,26.2,0.575,27.1,7.9,2015-16,Chris Paul,0.6463414634146342,0.0,107.0,1310.0,0.082,74.0,32.7,19.5,4.2,10.0,2.1,0.2,0.462,0.371,0.896,12.7,0.253
6,10.1,3.2,4.1,19.3,0.587,18.8,5.5,2015-16,Draymond Green,0.8902439024390244,0.0,50.0,1310.0,0.038,81.0,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
7,19.7,8.1,6.2,22.2,0.56,31.3,4.4,2015-16,Damian Lillard,0.5365853658536586,0.0,26.0,1310.0,0.02,75.0,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
8,19.7,8.0,10.2,25.3,0.598,32.5,6.6,2015-16,James Harden,0.5,0.0,9.0,1310.0,0.007,82.0,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
9,15.6,7.1,6.4,22.2,0.578,26.1,5.8,2015-16,Kyle Lowry,0.6829268292682927,0.0,6.0,1310.0,0.005,77.0,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
10,24.0,7.2,10.4,30.6,0.554,41.7,11.1,2016-17,Russell Westbrook,0.573170731707317,69.0,888.0,1010.0,0.879,81.0,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
11,18.9,9.3,10.9,27.4,0.613,34.2,8.7,2016-17,James Harden,0.6707317073170732,22.0,753.0,1010.0,0.746,81.0,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245
12,17.7,5.2,7.2,27.6,0.61,31.1,9.4,2016-17,Kawhi Leonard,0.7439024390243902,9.0,500.0,1010.0,0.495,74.0,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
